Media,ABRC-new,Genotype,MRPL,MRVL,MRVA,noLRpMR,Basal,Branched,Apical,Straightness,TRS,LRDpMR,LRDpBZ,Depth,LRL,MRpTRS,aLRL,aLRLpMRL,LRLpMRL,BasalpMRL,BranchedpMRL,ApicalpMRL,PC1,PC2,PC3
0,CS28018,Ang-0,3.81737,3.45674,2.11328,11,0.066582,1.609598,2.14119,0.905529,6.306133,2.881565,6.834005,3.454389,2.488763,0.60534245,0.226251182,0.059268864,0.6519575,1.744185133,42.1651032,56.09071167,-0.556861388,-0.642350866,0.540198967
0,CS28018,Ang-0,3.17351,2.92324,-2.25064,8,0.091982,1.269248,1.81228,0.921138,5.6111,2.520868,6.302945,2.920985,2.43759,0.56557716,0.30469875,0.096013168,0.768105347,2.898431075,39.99508431,57.10648462,-0.086115816,0.107532457,1.127711017
0,CS28018,Ang-0,3.8932,3.47466,3.78611,14,0.068761,1.766359,2.05808,0.892495,8.167185,3.596014,7.925909,3.467077,4.273985,0.476688112,0.305284643,0.078414837,1.097807716,1.766182061,45.37036371,52.86345423,-1.910356279,0.121663931,0.962200342
75,CS28018,Ang-0,4.7686,4.36897,-0.501116,20,0.112121,2.529789,2.12669,0.916196,13.689529,4.194103,7.905798,4.368803,8.920929,0.348339231,0.44604645,0.09353824,1.870764795,2.351235163,53.05097932,44.59778551,-4.844008262,0.148448899,1.170795498
75,CS28018,Ang-0,1.75907,1.59552,38.1572,1,0.068761,0,1.690309,0.907025,4.347783,0.568482,0,1.254587,2.588713,0.404590109,2.588713,1.471637286,1.471637286,3.90894052,0,96.09105948,-1.280062178,4.621500978,16.58544705
75,CS28018,Ang-0,4.60621,4.12101,5.49911,10,0.109942,2.658068,1.8382,0.894664,8.337546,2.170982,3.762131,4.102044,3.731336,0.552465917,0.3731336,0.081006641,0.81006641,2.38682127,57.70618361,39.90699512,-1.887396304,-0.753748105,0.278634582
75,CS28018,Ang-0,5.16155,4.63594,-0.78698,25,0.199745,2.982255,1.97955,0.898168,13.987955,4.843506,8.382918,4.635503,8.826405,0.368999614,0.3530562,0.068401197,1.710029933,3.869864672,57.77828366,38.35185167,-5.195726071,0.019133656,0.231807371
125,CS28018,Ang-0,1.57931,1.44831,1.52077,6,0.437061,0.658749,0.4835,0.917052,1.985337,3.799127,9.108172,1.4478,0.406027,0.795487114,0.067671167,0.042848565,0.257091388,27.67417416,41.71119033,30.61463551,3.223225947,1.787158588,-0.759933444
125,CS28018,Ang-0,1.9144,1.71753,-3.41659,10,0.099421,1.415119,0.39986,0.897164,3.265643,5.223569,7.066544,1.714477,1.351243,0.58622452,0.1351243,0.070583107,0.70583107,5.193324279,73.91971375,20.88696197,0.363936751,2.980405659,-1.447898166
125,CS28018,Ang-0,2.04012,1.85774,13.9406,13,0.086721,1.462459,0.49094,0.910603,3.822789,6.372175,8.889137,1.803022,1.782669,0.53367319,0.137128385,0.067215843,0.873805953,4.250779366,71.6849499,24.06427073,-0.291575691,2.982239987,-1.131490355
125,CS28018,Ang-0,2.16404,1.9908,-12.6086,8,0.254903,1.267077,0.64206,0.919946,3.354541,3.696789,6.313744,1.94279,1.190501,0.645107632,0.148812625,0.068766116,0.550128926,11.77903366,58.55145931,29.66950703,1.185482986,1.908011264,-0.93986375
0,CS28049,Ann-1,3.49131,3.10926,28.1416,7,0.539563,0.850147,2.1016,0.890571,4.400607,2.004978,8.233871,2.741698,0.909297,0.793370096,0.129899571,0.037206542,0.260445793,15.45445692,24.35037278,60.19517029,2.180608009,-1.541676033,1.022726335
0,CS28049,Ann-1,3.64281,3.21073,25.6492,8,0.395505,0.911475,2.33583,0.881388,4.766728,2.196107,8.776983,2.894348,1.123918,0.764216041,0.14048975,0.038566313,0.308530503,10.8571405,25.02120616,64.12165334,1.635335365,-1.560619931,1.144020082
0,CS28049,Ann-1,3.51093,2.97183,26.2351,7,0.262342,1.293378,1.95521,0.846451,4.430746,1.993774,5.412184,2.665695,0.919816,0.79240155,0.131402286,0.037426632,0.261986425,7.472151253,36.83861541,55.68923334,1.660546811,-1.112289671,0.434529654
0,CS28049,Ann-1,3.72209,3.00441,23.518,7,0.106861,1.173819,2.44141,0.807184,5.202138,1.880664,5.963441,2.754848,1.480048,0.715492361,0.211435429,0.056805566,0.397638961,2.870994522,31.53655607,65.5924494,0.969962386,-1.085169621,1.337133761
75,CS28049,Ann-1,4.72848,4.15385,1.23009,20,0.084542,2.909138,1.7348,0.878475,11.153587,4.229689,6.874889,4.152893,6.425107,0.42394254,0.32125535,0.067940512,1.358810231,1.787931851,61.52374547,36.68832267,-3.900437293,0.272870506,-0.0768407
75,CS28049,Ann-1,5.07446,4.5881,11.5283,21,0.155482,2.866148,2.05283,0.904155,11.830824,4.138371,7.326907,4.49554,6.756364,0.428918561,0.321731619,0.063402139,1.331444922,3.064010752,56.48183255,40.4541567,-4.051569861,-0.536160859,0.249424893
75,CS28049,Ann-1,3.18673,2.8171,4.93602,19,0.094161,3.005849,0.08672,0.88401,11.004946,5.962225,6.32101,2.806653,7.818216,0.289572525,0.411485053,0.129124542,2.453366303,2.954784371,94.3239308,2.721284828,-4.746279971,4.002390065,-0.745224121
75,CS28049,Ann-1,4.29689,3.90746,5.98945,16,0.091982,2.354538,1.85037,0.909369,8.249918,3.723624,6.795388,3.88613,3.953028,0.520840328,0.24706425,0.057498388,0.919974214,2.140664527,54.79632944,43.06300603,-2.15811237,-0.284706756,-0.072747234
125,CS28049,Ann-1,1.82896,1.67814,2.6224,6,0.260163,0.976247,0.59255,0.917538,2.31209,3.280553,6.145986,1.676383,0.48313,0.791041871,0.080521667,0.044025931,0.264155586,14.22464133,53.37716516,32.39819351,2.559028083,1.394226965,-1.049420472
125,CS28049,Ann-1,2.00511,1.72889,-2.5448,8,0.158563,1.148417,0.69813,0.862242,3.361615,3.989806,6.966111,1.727185,1.356505,0.596472231,0.169563125,0.084565498,0.676523981,7.9079452,57.27451362,34.81754118,0.941667018,2.370182987,-0.372048839
125,CS28049,Ann-1,1.07131,0.939104,28.6731,5,0.307882,0.337265,0.426163,0.876594,1.575855,4.667183,14.825137,0.823943,0.504545,0.679827776,0.100909,0.094192157,0.470960786,28.73883376,31.48155062,39.77961561,3.130382386,2.83518547,0.7901732
125,CS28049,Ann-1,1.93108,1.6903,2.16926,7,0.153303,1.148417,0.62936,0.875313,2.645891,3.624915,6.095347,1.689089,0.714811,0.729841101,0.102115857,0.05288018,0.370161257,7.93871823,59.47019285,32.59108892,1.818148108,1.8081929,-1.023632666
0,CS28051,Arby-1,4.56502,4.11511,11.9709,10,0.281205,1.539935,2.74388,0.901444,5.369633,2.190571,6.49378,4.025619,0.804613,0.850154936,0.0804613,0.017625618,0.176256183,6.159994918,33.73336809,60.10663699,0.903822123,-2.733843228,0.006499167
0,CS28051,Arby-1,4.37197,3.92086,12.0037,6,0.074021,1.781769,2.51618,0.896818,5.681134,1.372379,3.36744,3.835127,1.309164,0.769559387,0.218194,0.049907479,0.299444873,1.693081151,40.75437389,57.55254496,0.461546873,-2.204110682,0.442351691
